section,sample,formation,section_m,strat_m,d13C,d18O
F836,F836-98.0,PF1,98,1038,3.23,-1.76
F836,F836-100.0,PF1,100,1040,4.22,-2.01
F836,F836-102.0,PF1,102,1042,3.07,-2.92
F836,F836-104.0,PF1,104,1044,4.27,-0.76
F836,F836-106.0,PF1,106,1046,3.12,-2.37
F836,F836-108.0,PF1,108,1048,1.78,-6.54
F836,F836-112.0,PF1,112,1052,2.92,-3.16
F836,F836-114.0,PF1,114,1054,3.16,-3.99
F836,F836-116.0,PF1,116,1056,2.75,-4.07
F836,F836-118.0,PF1,118,1058,3.56,-1.8
F836,F836-120.0,PF1,120,1060,4.09,-3.55
F836,F836-122.0,PF1,122,1062,4.26,-3.13
F836,F836-124.0,PF1,124,1064,2.88,-4.86
F836,F836-128.0,PF1,128,1068,3.79,-2.43
F836,F836-130.0,PF1,130,1070,2.1,-4.33
F836,F836-132.0,PF1,132,1072,2.52,-3.4
F836,F836-134.0,PF1,134,1074,3.04,-5.53
F836,F836-142.0,PF1,142,1082,3.29,-4.62
F836,F836-148.0,PF1,148,1088,2.74,-4.17
F836,F836-152.0,PF1,152,1092,3.14,-3.19
F836,F836-156.0,PF1,156,1096,3.2,-2.64
F836,F836-160.0,PF1,160,1100,2.53,-5.17
F836,F836-164.0,PF1,164,1104,3.03,-4.57
F836,F836-166.0,PF1,166,1106,2.51,-2.35
F836,F836-170.0,PF1,170,1110,3.76,-2.55
F836,F836-172.0,PF1,172,1112,3.96,-1.39
F836,F836-174.0,PF1,174,1114,3.15,-2.18
F836,F836-176.0,PF1,176,1116,4.2,-3.02
F836,F836-178.0,PF1,178,1118,2.7,-6.29
F836,F836-180.0,PF1,180,1120,3.13,-5.49
F836,F836-182.0,PF1,182,1122,2.69,-2.77
F836,F836-184.0,PF1,184,1124,3.96,-1.71
F836,F836-186.0,PF1,186,1126,4.29,-5.97
F836,F836-188.0,PF1,188,1128,5.12,-1.24
F836,F836-190.0,PF1,190,1130,3.03,-3.23
F836,F836-192.0,PF1,192,1132,5.6,-2.95
F836,F836-194.0,PF1,194,1134,4.59,-2.3
F836,F836-196.0,PF1,196,1136,3.6,-5.62
F836,F836-198.0,PF1,198,1138,4.94,-2.69
F836,F836-200.0,PF1,200,1140,3.91,-0.8
F836,F836-202.0,PF1,202,1142,3.83,-2.55
F836,F836-204.0,PF1,204,1144,5.14,-1.77
F836,F836-206.0,PF1,206,1146,3.88,-2.78
F836,F836-208.0,PF1,208,1148,4.18,-0.99
F836,F836-210.0,PF1,210,1150,5.4,-1.79
F836,F836-212.0,PF1,212,1152,3.7,-4.78
F836,F836-214.0,PF1,214,1154,3.8,-1.78
F836,F836-218.0,PF1,218,1158,4.28,-2.53
F836,F836-220.0,PF1,220,1160,4,-2.57
F836,F836-224.0,PF1,224,1164,5.06,0.29
F836,F836-226.0,PF1,226,1166,4.08,-2.8
F836,F836-230.0,PF1,230,1170,4.76,-2.65
F836,F836-232.0,PF1,232,1172,4.47,-2.01
F836,F836-238.0,PF1,238,1178,5.19,-2.36
F836,F836-240.0,PF1,240,1180,5.16,-1.79
F836,F836-242.0,PF1,242,1182,6.05,-1.64
F836,F836-246.0,PF1,246,1186,4.81,-1.95
F836,F836-248.0,PF1,248,1188,6.08,-2.42
F836,F836-250.0,PF1,250,1190,5.39,-2.25
F836,F836-252.0,PF1,252,1192,4.03,-3.85
F836,F836-258.0,PF1,258,1198,5.62,-2.07
F836,F836-260.0,PF1,260,1200,4.86,-2.01
F836,F836-264.0,PF1,264,1204,5.21,-1.86
F836,F836-266.0,PF1,266,1206,5.9,-1.08
F836,F836-268.0,PF1,268,1208,4.94,-2.68
F836,F836-270.0,PF1,270,1210,4.12,-2.53
F836,F836-272.0,PF1,272,1212,5.75,0.33
F836,F836-274.0,PF1,274,1214,2.6,-1.39
F836,F836-276.0,PF1,276,1216,4.8,-2.83
F836,F836-278.0,PF1,278,1218,4,-3.99
F836,F836-293.0,PF1,293,1233,5.46,-4.98
F836,F836-296.0,PF1,296,1236,5.84,-2.2
F836,F836-298.0,PF1,298,1238,5.73,-1.93
F836,F836-304.0,PF1,304,1244,5.56,-2.01
F836,F836-308.0,PF1,308,1248,5.52,-2.61
F836,F836-312.0,PF1,312,1252,5.56,-3.25
F836,F836-316.0,PF1,316,1256,6.28,-1.41
F836,F836-333.0,PF1,333,1273,6.62,-2.01
F836,F836-340.0,PF1,340,1280,6.37,-2.16
F836,F836-352.0,PF1,352,1292,5.84,-1.39
F836,F836-354.0,PF1,354,1294,6.81,-1.05
F836,F836-358.0,PF1,358,1298,5.97,-1.67
F836,F836-364.0,PF1,364,1304,6.24,-1.69
F836,F836-366.0,PF1,366,1306,6.24,-1.27
F836,F836-368.0,PF1,368,1308,6.88,-1.17
F836,F836-370.0,PF1,370,1310,7.02,-1.71
F836,F836-372.0,PF1,372,1312,7.1,-1.47
F836,F836-374.0,PF1,374,1314,6.86,-1.11
F836,F836-376.0,PF1,376,1316,6.99,-0.43
F836,F836-378.0,PF1,378,1318,6.09,0.79
F836,F836-380.0,PF1,380,1320,6.98,-1.7
F836,F836-382.0,PF1,382,1322,6.18,-0.61
F836,F836-394.0,PF1,394,1334,6.28,-1.29
F836,F836-399.0,PF1,399,1339,3.27,1.33
F836,F836-501.0,PF2,501,1441,1.97,-3.83
F836,F836-503.0,PF2,503,1443,1.52,-3.19
F836,F836-505.0,PF2,505,1445,1.9,-4.34
F836,F836-507.0,PF3,507,1447,3.22,-3.17
F836,F836-509.0,PF3,509,1449,3.69,-0.65
F836,F836-511.0,PF3,511,1451,3.17,-1.56
F836,F836-513.0,PF3,513,1453,3.59,-3.28
F836,F836-515.0,PF3,515,1455,4.53,-0.75
F836,F836-519.0,PF3,519,1459,2.79,1.68
F836,F836-523.0,PF3,523,1463,5.01,0.41
F836,F836-527.0,PF3,527,1467,4.63,-0.52
F836,F836-531.0,PF3,531,1471,2.97,0.18
F836,F836-535.0,PF3,535,1475,4.5,-3.54
F836,F836-539.0,PF3,539,1479,3.36,-1.56
F836,F836-543.0,PF3,543,1483,3.99,-3.31
F836,F836-547.0,PF3,547,1487,4.14,-0.94
F836,F836-551.0,PF3,551,1491,3.92,-0.61
F836,F836-555.0,PF3,555,1495,4.58,-1.08
F836,F836-557.0,PF3,557,1497,5.63,0.25
F836,F836-559.0,PF3,559,1499,5,-0.6
F836,F836-563.0,PF3,563,1503,4.06,-2.64
F836,F836-567.0,PF3,567,1507,3.62,1.67
F836,F836-571.0,PF3,571,1511,3.6,-1.09
F836,F836-575.0,PF3,575,1515,2.06,0.98
F836,F836-576.0,PF3,576,1516,2.8,1.43
F836,F836-586.0,PF3,586,1526,3.66,-0.37
F836,F836-587.0,PF3,587,1527,4.94,-4.87
F836,F836-591.0,PF3,591,1531,4.42,2.66
F836,F836-595.0,PF3,595,1535,4.38,0.35
F836,F836-599.0,PF3,599,1539,4.77,0.79
F836,F836-603.0,PF3,603,1543,3.87,0.21
F836,F836-609.0,PF3,609,1549,4.54,1.58
F836,F836-613.0,PF3,613,1553,4.52,-0.23
F836,F836-617.0,PF3,617,1557,4.9,1.18
F836,F836-621.0,PF3,621,1561,5.37,1.38
F836,F836-625.0,PF3,625,1565,5,2.41
F836,F836-629.0,PF3,629,1569,5.11,1.47
F836,F836-631.0,PF3,631,1571,5.04,2.16
F836,F836-633.0,PF3,633,1573,4.53,-3.29
F836,F836-635.0,PF3,635,1575,4.75,0.37
F836,F836-637.0,PF3,637,1577,4.6,-1.1
F836,F836-639.0,PF3,639,1579,4.65,0.91
F836,F836-641.0,PF3,641,1581,5.18,1.51
F836,F836-643.0,PF3,643,1583,5.88,2.62
F836,F836-645.0,PF3,645,1585,5.43,1.57
F836,F836-647.0,PF3,647,1587,5.62,1.67
F836,F836-649.0,PF3,649,1589,5.81,2.53
F836,F836-651.0,PF3,651,1591,5.35,-0.03
F836,F836-659.0,PF3,659,1599,5.19,1.66
F836,F836-661.0,PF3,661,1601,5.67,1.05
F836,F836-663.0,PF3,663,1603,5.52,0.64
F836,F836-665.0,PF3,665,1605,5.63,-0.78
F836,F836-667.0,PF3,667,1607,5.2,-0.24
F836,F836-671.0,PF3,671,1611,5.37,0.3
F836,F836-673.0,PF3,673,1613,5.18,0.17
F836,F836-677.0,PF3,677,1617,4.14,-0.01
F836,F836-679.0,PF3,679,1619,4.29,-1.13
F836,F836-681.0,PF3,681,1621,3.95,0.62
F836,F836-683.0,PF3,683,1623,4.38,-2.49
F836,F836-685.0,PF3,685,1625,4.9,0.87
F836,F836-687.0,PF3,687,1627,4.47,0.18
F836,F836-689.0,PF3,689,1629,4.38,0.08
F836,F836-691.0,PF3,691,1631,4.86,0.55
F836,F836-693.0,PF3,693,1633,4.7,-2.95
F836,F836-697.0,PF3,697,1637,2.2,-0.89
F836,F836-699.0,PF3,699,1639,4.75,-1.7
F836,F836-701.0,PF3,701,1641,4.71,-2.84
F836,F836-705.0,PF3,705,1645,4.9,-0.51
F836,F836-707.0,PF3,707,1647,5.13,-0.69
F836,F836-709.0,PF3,709,1649,4.86,-4.2
F836,F836-711.0,PF3,711,1651,4.86,-0.22
F836,F836-713.0,PF3,713,1653,4.37,0.03
F836,F836-717.0,PF3,717,1657,3.17,1.09
F836,F836-720.0,PF3,720,1660,3.27,0.24
F836,F836-726.0,PF3,726,1666,3.44,-2.88
F836,F836-728.0,PF3,728,1668,4.07,-0.87
F836,F836-730.0,PF3,730,1670,3.59,-1.56
F836,F836-732.0,PF3,732,1672,3.36,1.57
F836,F836-734.0,PF3,734,1674,3.61,1.21
F836,F836-736.0,PF3,736,1676,4.08,1.85
F836,F836-738.0,PF3,738,1678,4.12,1.46
F836,F836-740.0,PF3,740,1680,4.01,0.8
F836,F836-742.0,PF3,742,1682,3.92,2.36
F836,F836-744.0,PF3,744,1684,3.39,2
F836,F836-746.0,PF3,746,1686,3.16,-1.04
F836,F836-748.0,PF3,748,1688,3.68,-2.17
F836,F836-750.0,PF3,750,1690,3.08,-0.77
F836,F836-752.0,PF3,752,1692,3.83,-1.06
F836,F836-754.0,PF3,754,1694,3.81,-2.81
F836,F836-756.0,PF3,756,1696,3.98,-2.72
F836,F836-758.0,PF3,758,1698,4.09,-4.68
F836,F836-760.0,PF3,760,1700,4,-1.65
F836,F836-762.0,PF3,762,1702,4.02,-3.97
F836,F836-764.0,PF3,764,1704,4.17,-0.57
F836,F836-766.0,PF3,766,1706,3.79,-4.07
F836,F836-768.0,PF3,768,1708,3.91,-2.88
F836,F836-770.0,PF3,770,1710,4.02,-1.27
F836,F836-772.0,PF3,772,1712,3.95,-3.15
F836,F836-774.0,PF3,774,1714,3.7,-3.95
F836,F836-776.0,PF3,776,1716,3.8,-2.23
F836,F836-778.0,PF3,778,1718,3.78,-1.31
F836,F836-780.0,PF3,780,1720,3.91,1.83
F836,F836-782.0,PF3,782,1722,3.75,-2.94
F836,F836-784.0,PF3,784,1724,3.96,-4.03
F836,F836-786.0,PF3,786,1726,3.78,-3.79
F836,F836-788.0,PF3,788,1728,4.21,-3.58
F836,F836-790.0,PF3,790,1730,4.12,-0.39
F836,F836-794.0,PF3,794,1734,4.11,-1.92
F836,F836-798.0,PF3,798,1738,4.03,0.8
F836,F836-800.0,PF3,800,1740,4.43,-0.77
F836,F836-802.0,PF3,802,1742,4.1,1.5
F836,F836-804.0,PF3,804,1744,4.06,-3.11
F836,F836-806.0,PF3,806,1746,4.67,0.46
F836,F836-808.0,PF3,808,1748,4.86,1.32
F836,F836-810.0,PF3,810,1750,5.02,0.96
F836,F836-812.0,PF3,812,1752,4.27,-1.14
F836,F836-814.0,PF3,814,1754,3.94,-0.15
F836,F836-816.0,PF3,816,1756,4.06,-0.9
F836,F836-818.0,PF3,818,1758,3.48,1.24
F836,F836-820.0,PF3,820,1760,3.46,-1.08
F836,F836-822.0,PF3,822,1762,4.69,-0.62
F836,F836-838.0,PF3,838,1778,4.7,-0.79
F836,F836-842.0,LMH,842,1782,1.81,-4
F836,F836-854.0,LMH,854,1794,2.69,-3.65
F836,F836-880.0,LMH,880,1820,2.14,-4.53
F836,F836-888.0,LMH,888,1828,1.59,-7.06
F836,F836-889.0,LMH,889,1829,1.27,-8.38
F836,F836-890.0,LMH,890,1830,1.48,-9.16
F836,F836-891.0,LMH,891,1831,0.78,-1.44
F836,F836-893.0,LMH,893,1833,-2.02,-1.24
F836,F836-894.0,LMH,894,1834,-2.15,-2.94
F836,F836-895.0,LMH,895,1835,-4.27,-2.63
F836,F836-896.0,LMH,896,1836,-6.15,-2.19
F836,F836-897.0,LMH,897,1837,-1.67,-4.09
F836,F836-899.0,LMH,899,1839,-1.68,-4.55
F836,F836-900.0,LMH,900,1840,0.03,-4.37
F836,F836-901.0,LMH,901,1841,-0.45,-4.68
F836,F836-902.0,LMH,902,1842,0.24,-2.13
F836,F836-904.0,LMH,904,1844,0.27,-4.94
F836,F836-905.5,LMH,905.5,1845.5,0.32,-3.41
